문장,정답,예측,확신도(%)
아 얘봐 얘 신발봐 하하하하 진짜 신발 대박 꼴에 이런거 신네 이.이거 선물받은거야. 누구한테? 너같은 찌질한 가난한 애한테 누가 이런걸 줘? 그.그런사람 있어.선물줬어. 얘가 어이없네? 이런거 받으면 우리한테 줘야지? 너같은 찌질이한테 이런거 어울리니? 아 안돼.이거 선물 받은거라 안돼.다른거 줄게. 아냐아냐 너가 가진거 다 거지같아서 손 대기도 싫어 근데 그 신발은 신상이잖아 미안해.내가 다음에 줄게 진짜 오늘은 그만하면 안될까. 이거 안주면 힘들텐데? 그냥 주고 끝내지? 안주면 내가 어떻게 할지 궁금해? 진짜 미안해 이 신발만은 안돼.,기타괴롭힘(3),갈취(1),90.24
야 네? 던힐 하나 던힐 뭐 말씀이세요? 아니 주라면 알아서 아무거나 주지 1미리로 드릴까요? 아니 1미리는 너무 약하잖아!! 아무거나 주시라고하셔서 에이 그래도 돈주고 그렇게 약하거 먹겠나? 그럼뭐로드릴까요? 그거빼고 아무거나줘 .,기타괴롭힘(3),갈취(1),89.95
왜 내가 부탁한 돈 아직도 안보냈어? 나 돈 없는거 알잖아? 그럼 우리 니가 보내준 니 알몸사진 다 뿌려버린다 그건 보고 지우기로 한거 잖아 왜 아직도 가지고 있어? 그럼 니가 처음부터 보내지 말았어야지 그걸 믿는 니가 병신이지 나 진짜 가지고 있는 거 이것밖에 없어 내 전재산 다 보내주는 거야. 이걸 누구 코에 붙이라고 지금 미쳤니? 너 우리가 이사진 못 뿌릴 줄 알지? 제발. 제발 부탁이야 진짜 없어 그럼 니 부모한테 달라고 하던지,협박(0),갈취(1),89.44
야 나도 너 도시락좀 먹자 못가져왔어 너 저번에도 내꺼 다 먹었잖아 아 정말 돼지도 아니고 왜이렇게 욕심이 많아 그게 아니라 너는 너가 다 먹으니까 그런거지 하.야 내가 먹으면 얼마나 먹는다고 그리고 너 살빼야될 것 같은데? 뭐?.너 그게 할소리야? 아니 그렇잖아 너 많이 먹어서 내가 대신 먹어주는데 고마워해야하는거 아니야? 하. 그래 고맙다 고마워 또 그렇게 비꼬아서 말하진 말자화날것같으니까? 알았어 미안,갈취(1),기타괴롭힘(3),89.3
도대체 핵심기술이 뭐야? 끝까지 말하지 않겠다 이건가? 난 이 회사에 30년을 바쳐 일해왔어. 내가 그 따위 협박에 넘어갈 것 같아? 기가 차는군. 그 노친네가 당신한테 해준 게 뭐가 있다고 이러는 거지? 당신은 절대 모를거야. 회장님은 나에겐 아버지와도 같은 분이라고. 다시 한번 경고한다. 당신이 실토하지 않으면 나도 별 수 없어. 뭘 어쩌겠다는 거야? 이 막걸리에는 당신을 5분 내에 사망하게 할 치사량의 청산가리가 들어있지. 나를 죽이고 당신이 무사할까? 이봐 지금 당신이 걱정할 건 내 안위가 아니야. 당신 목숨이야. 절대 말 못해. 너 따위 인간 때문에 회장님을 저버릴 순 없어.,갈취(1),협박(0),89.16
야 넌 무슨 지금 이 시기에 전기방석을 쓰고 있냐? 아 제가 몸이 차가운 성질이라서 몸을 따뜻하게 유지해야 합니다. 니 몸이 차가운걸 왜 우리회사가 신경 써줘야 해? 여기가 유치원이야? 아닙니다. 근데 저만 쓰고 있는거 아닌데. 왜 저한테만 화내십니까. 나는 다른 사람은 몰라도 너한테 들어가는 전기료는 아까워 죽겠어. 내가 차라리 그 돈으로 남을 도와주고 살지 너한테 푼 돈 쓰는것도 아까워. 그럼 회사 온도가 벌써 3도인데 여기서 어떻게 아무것도 안틀고 버텨요. 한 겨울인데. 난방도 하나도 안틀잖아요. 추우면 너가 집에서 담요를 가져와서 덮어. 게을러가지고 그렇게 하기도 힘들지? 아니요. 담요 가져와서 덮도록 하겠습니다. 하여간 일 못하는 애들이 유난은 더 피운다니까. 뭐가 그렇게 귀하게 자랐다고 방석이야. 죄송합니다. 다음부터 그러지 않도록 주의하겠습니다.,직장내괴롭힘(2),기타괴롭힘(3),88.58
하지마 하지마아 자꾸 따라하지마라 따라하지마아아 너 계속 따라하면 선생님한테 일러줄거야 선생님 한테 일러줄꼬야일러봐아 너 진짜 두고보자 두고봐도 안무서운데 진짜 가만히 안둬 가만히 안둬가만히 안두면 어쩔껀데,기타괴롭힘(3),협박(0),88.27
아야 너 머하냐? 숙제 중. 숙제 하지말고 내 심부름이나 해 싫어 나 숙제 할꺼야 숙제가 중요하냐? 응.왜? 참나.어디 한번 해볼까? 왜그래? 왜그려냐구?니가 내 심부름 무시해서 글타 왜? 아 알았어 갔다올게,협박(0),기타괴롭힘(3),88.19
움직이지마! 누구세요? 보면몰라? 여기 가방에 다 넣어 죽기 싫으면 이러지마세요 신고할거에요 신고하기전에 니가 먼저 죽을걸 제발요 다치기 싫어요 다치기 싫으면 여기에 금 다 털어! 요새 상황이 여의치 않아 이거 털리면 우리식구 다 길바닥에 내앉아져요 나는 이미 앉았어 얼른 넣어 잔말말고 네.,갈취(1),협박(0),87.82
내일까지 준비하라고 한 돈은 어떻게 되어가고 있나? 사장님 그 많은 금액을 어떻게 이틀 만에 준비합니까. 아직도 정신을 못 차렸군. 내 말이 말 같지 않아? 아뇨. 저도 최선을 다 하고 있습니다. 조금만 기다려주세요. 당신 아내 사지가 멀쩡한 날은 오늘이 마지막이 되겠군. 그것만은 제발. 어디 보자. 손가락 발가락 모두 20개니 개당 500만원으로 치고 자르면 되겠군. 제가 어리석었습니다. 용서해주세요. 제발 제 아내만은 건드리지 말아주세요. 내일까지 1억이야. 시간 금액 중 하나라도 안 맞으면 끔찍한 일이 일어날 거야. 알겠습니다. 반드시 구해오겠습니다.,갈취(1),협박(0),87.74
