문장,정답,예측,확신도(%)
우리 헤어져. 뭐? 왜 갑자기 그런 소리를 해? 너 너무 집착이 심해. 못 견디겠어. 내가 언제 그랬는데? 오히려 믿음 안 준건 너잖아. 그래. 다 내 잘못이니까 헤어지자. 야. 생각을 하고 얘기를 해. 너 나랑 쉽게 헤어질 수 있을 것 같아? 이젠 협박까지 하시겠다? 너 내 핸드폰에 너 관련된 거 엄청 많아. 안 무섭냐? 무슨 얘기 하는 거야. 넌 나랑 헤어지는 순간 인터넷에 다 공개해버릴거라고. 그러니까 나랑 계속 만나는 게 좋을거야?,갈취(1),협박(0),88.66
하지마 하지마아 자꾸 따라하지마라 따라하지마아아 너 계속 따라하면 선생님한테 일러줄거야 선생님 한테 일러줄꼬야일러봐아 너 진짜 두고보자 두고봐도 안무서운데 진짜 가만히 안둬 가만히 안둬가만히 안두면 어쩔껀데,기타괴롭힘(3),협박(0),88.43
움직이지마! 누구세요? 보면몰라? 여기 가방에 다 넣어 죽기 싫으면 이러지마세요 신고할거에요 신고하기전에 니가 먼저 죽을걸 제발요 다치기 싫어요 다치기 싫으면 여기에 금 다 털어! 요새 상황이 여의치 않아 이거 털리면 우리식구 다 길바닥에 내앉아져요 나는 이미 앉았어 얼른 넣어 잔말말고 네.,갈취(1),협박(0),88.41
빨리 은행비밀번호을 알려라. 안됩니다. 은행비밀번호는 알려줄수 없습니다 머라고? 내가 장난하는거 같나? 알려주지않으면 이 칼로 너를 죽여버리겠다 제발 살려주십시오. 은행에 저의 어머니 수술비가 들어있습니다. 안됩니다 내가 그런 사정 바줄거 같나? 어서 빨리 말해라 다시 한번만 생각해주십시오. 이게 없으면 저희 어머니는 수술받지못해 죽습니다. 그렇다면 니가 대신 죽으면 되겠군. 빨리말해라 아니면 죽여버리겠다 살려주십시오. 제발 살려주세요 빨리말해라 두번말하게하지마라 여기있습니다. 저희 어머니 수술비입니다. 제발 돌려주십시오,갈취(1),협박(0),87.98
이거 도와주세요. 난 지금 바빠서 도와줄 시간이 없어. 넌 바쁠 때 항상 바쁜척 하더라 바쁜척 하는 게 아니라 실제로 바빠. 지금까지 놀다가 바쁜척 하는 거 알아 진짜 바쁘다니까. 내 말을 뭘로 알아 니가 평상시에 하는 행동을 보면 매번 그렇더라 니가 미쳤군. 사람 말을 못믿는 걸 보면 너야 말로 진짜 미친 놈이야. 넌 이성을 잃었여. 평상시도 제정신이 아니었지만.,협박(0),기타괴롭힘(3),87.77
야 돈 있냐?? 없는데 나 오늘 너 매점에서 봤는데 매점에서 다 썼어 잔돈 있을거 아냐 뒤져서 너 나오면 어쩔래 진짜 없다니까. 주머니에 이건 종이 쪼가리냐? 구라치네 이새끼 어 몰랐어. 입만 열면 구라지 이새끼는,협박(0),갈취(1),86.93
야 너는 혼자 잘난척 그만해 꼴보기 싫으니까 그래 야 동기들 다 니 싫어해. 혼자 잘난줄 알아가지고 내가 언제 잘난 척 했는데? 이 새끼 봐라. 아닌 척 하네. 야 너만 맨날 부장님께 예쁨받고 혼자서만 이득 보잖아. 장난하냐? 아니 나는. 질린다. 조용히 찌그러져 살아. 피해주지 말고. 야 그냥 회사 때려쳐 사람들 다 너 싫어하니까 지만 지가 왕따인줄 모르나봐. 재수가 없으려니까. 하.,직장내괴롭힘(2),기타괴롭힘(3),86.89
돈 가져다 이 가방에 담아 네네 허튼 짓 하면 너도 죽고 나도 죽을 줄 알아. 네 여기 있습니다 저 뒤에 금고 열어 금고 열쇠가 저에게 없습니다 받아서 빨리 열어! 아 네네 부장님 열쇠 좀. 빨리빨리 열어서 가져다 담고 너도 엎드려 네네 여기 있습니다 살려 주세요,협박(0),갈취(1),86.76
여기 내 책상에 손 댔어? 아니요. 전 일만하고 있었는데요. 지금 여기 너와나 둘 뿐인데 내 책상은 어질러져있고 돈도 없어졌네. 전 절대로 가져가지 않았어요. 너 혹시 전과있니?? 대학은 나왔어? 저 정규대 나오고 . 대학에서 남의돈 훔치라고 배웠어요? 절대로 그런짓 안했어요. 그럼 돈이 발이 달려 도망이라도 갔대? 보자보자하니까 평소에도 손버릇이 나쁘더니 결국 내돈까지 보시면 아실거예요.전 아니예요. 저게 또 고장난거 까지 아네.,직장내괴롭힘(2),갈취(1),86.52
니가 내훔쳐갔지? 무슨소리야. 내돈 없어졌어 나는 아니야 니가 가져간게 틀림없어 내돈내놔 그돈이 어떤돈인데 아니야 나는 정말 그돈 안주면 너도 죽고 나도 죽는거야 내돈내놔 정말 아니야. 믿어줘 그럼 돈이 발이 달려서 도망갔겠니? 내돈 안주면 진짜 우리 죽는거야 같이 죽어 진정해 천천히 찾아보자 제발 아니야 아니야 니가 가져갔어 그냥 다 죽자 우리,협박(0),갈취(1),85.88
다 손 들고 가만히 있어 이봐요 지금 뭐하시는 겁니까 나 지금 제 정신 아니니까 잔 말 말고 여기에 돈 담아 손님들도 계신데 이러시면 곤란합니다 내가 지금 장난하는 걸로 보여 빨리 담아 네네 알겠으니 이러지 마시고 조금만 시간을 경찰에 신고할 생각 말고 네네 알겠습니다 진정하세요 제발 빨리 빨리 안 담으면 너고 손님이고 죽일 줄 알아라 다 되갑니다 제발 기다리세요,갈취(1),협박(0),85.13
많이 어려워? 제가 그 물건을 다음달까지 어떻게. 안 어렵게 도와줄까? 네? 그게 무슨. 이게 누구실까? 앗. 우리 아들 그래 하나뿐인 석박사 수석 아드님 왜 이러십니까. 어때 좀 쉽게 구할 거 같아? 제발.시간을 좀 주세요.,협박(0),갈취(1),85.12
김사장. 우리 그동안의 세월을 봐서 내가 많이 봐줬다. 한번만 더 시간을 주면 안되겠나? 김사장도 양심도 없지. 내가 땅파서 장사하나? 하지만 이자가 터무니 없이 비싸네. 그럼 빌리지 말든가 급할때는 좋다고 빌려가놓고 왜그래? 그래서 시간을 조금만 더 주게 제발 이틀 줄게 그안에 안가져오면 눈 한쪽 내놓을 생각해 눈.눈을 말인가? 왜 싫으면 지금 당장 돈 가져오든가 내 어찌든 마련해보겠네.,협박(0),갈취(1),85.0
저기 명현님 내일이 발표 날인데 왜 발표 자료 안 주시죠? 제가 왜 줘야 해요? 제가 열심히 준비해서 만든건데요? 그게 뭔소리 입니까. 다같이 역할 분담해서 정한건데 제일 늦게 고르셔서 발표자료 준비 된거잖아요. 제 허락도 없이 정해놓고 제가 다 만드니 그걸 나눠서 봐야 하나요? 그럼 5일 째 문자를 안 보시는데 더 기다렸어야하나요? 역할 정해졌다니까 바로 보셨잖아요. 네 어쨋든 제가 만든거니 같이 볼 필요는 없을 거 같네요. 그게 무슨 말도 안되는 소리예요 이제 곧 발표시간이라고요. 저희 학점 깍이는 모습 보고 싶어서 그러시나요? 그럼 도왔어야죠. 돕지도 않고 가져간다는건 무슨 심보죠? 저희가 다양한 논문자료 보면서 분석해서 보내드렸잖아요.더군다나 다른 나라에서 각 언어로 나온 논문들도 다 분석해서 정리해 보내드렸는데 그게 무슨소립니까 어쨋든 만드느라 제일 수고한건 저 인것 같으니 자료 필요하면 10만원에 사가세요. 솔직히 제 노력에 비해 적게 받는겁니다. 아니 다같이 발표 하는데서 금전이 오가면 안되죠. 그것도 제일 연락 안 보셨던 분이 지금 이러시는 게 옳다고 생각하시나요? 안 옳다고 생각하시면 어쩔 수 없죠 발표 자료를 알아서 만드시던가 아니면 그냥 학점 깍이세요 뭐 제가 별 다르게 간섭 해야 할 이유는 없으니 발표할거면 그냥 10만원 보내요 바로 보내드린다니까,갈취(1),직장내괴롭힘(2),84.75
너는 앞으로 매일 내 책상 위에 스타벅스 샌드위치 올려 놓도록 해. 응? 알겠어. 너 목소리가 왜 그래? 하기 싫어? 아 아니야 알겠어 그래 앞으로 대답할 때는 큰 소리로 말하도록 해 알겠어. 샌드위치 아무거나 올려놓으면 돼? 응응 목마르니까 가끔 마실 것도 꼭 올려놔 아 알겠어. 근데 매일은 조금 부담될 수 있을 것 같은데. 내가 알 바야? 아니면 너 학교 생활 어려워질 거니까 두고봐 아 알겠어.,갈취(1),기타괴롭힘(3),84.71
제가 오늘 솔루션을 구매했는데요 저랑 안맞더라구 환불해주세요 네 고객님 이미 사용하신 것에 대해서는 이용료를 차감하고 환불해드리겠습니다 아니 내가 테스트하려고 사용한건데 그걸 왜 차감시켜요? 저희 서버나 서비스 이용료로 아니 그런건 모르겠고 오늘 결제해서 사용해보니 내가 불편해서 그런거 아니야 네 불편하셨다니 송구스럽습니다만 됐고 빨리 환불이나해줘!!!!! 일처리 제대로 안해? 환불 수수료 10프로 제외입니다. 아니!!! 무슨!!! 수수료를 10프로나 떼!!!! 장난하나!!! 내가 뭐 얼마나 썼다고 장난해?? 네 윗사람 나오라 그래 직원 교육을 뭐 이따위로 시켰어! 사용료의 50프로를 사용하셨습니다 고객님 너는 됐고!!빨리 윗사람 부르라고!!!,갈취(1),기타괴롭힘(3),84.58
저기 이거봐요. 이거 다 치우고 가셔야죠? 이거 제가 한거 아닌데요. 누가 했든 지금 댁이 여기 있잖아요 아니 저한테 매번 왜 이러시는거죠? 제가 뭘 어떡했는데요? 저한테만 허드렛일 시키시잖아요 댁이 그렇게 느끼는거지 난 그런적 없어요 거 참 너무 하네요 너무 하면 내 눈에 띄지 말아요 아니 그게 무슨 말이에요?,기타괴롭힘(3),직장내괴롭힘(2),83.84
미연씨 혹시 오늘 저녁에 뭐 먹어요? 저 오늘 아직 저녁 생각은 안해봤어요! 아. 혹시 그럼 오늘 저녁에 이거 먹을래요? 네? 아 혹시 저 주시려고 만드신 건가요? 아니 그건 아니고. 이게 내가 실수로 메뉴를 잘못 만들었는데 버리긴 아깝잖아 감사합니다! 그럼 제가 오늘 퇴근하면서 가져가겠습니다! 이거 원래 3만원 짜린데 내가 실수해서 2만원에 줄게요. 네?.아 혹시 제가 사서 가야하나요? 아니면 이번 달 월급에서 빼고 그래도 싸구려 음식도 아닌데 그냥 주기는 아깝잖아? 알겠죠? 그렇게 알고 있을게요. 아.저는 굳이.그렇게 까지.하,직장내괴롭힘(2),갈취(1),82.83
아저씨 담배 있어요? 없는데. 그럼 저기 편의점에서 하나만 사다 주세요. 지금 삥 뜯는 건가? 에이. 부탁하는 거죠. 누가 부탁을 이렇게 무서운 표정으로 해. 하. 이 아저씨 말귀를 못 알아듣네. 거지냐고 썅. 아니. 말보로 레드. 어어.,갈취(1),기타괴롭힘(3),82.18
강대리 진짜 재수없네? 왜 꼬박꼬박 말대꾸에 사람을 그따위로 쳐다봐? 그니까 딴 동기들은 다 착한데 강대리만 참 사람이 못났어 하. 왜 한숨 쉬어? 야 너 싫어하는 동기가 한둘이 아니야 재수없는 놈아 혼자 잘난척만 하고 진짜 맞아맞아. 입사할때부터 싫었어 넌 내가 뭘 그리 잘못했는데. 넌 태어난 거 부터가 잘못이야 아 진짜 웃겨! 그니까 그냥 태초부터 잘못된거야넌 이런 재수탱이는 사회에 방생되면 안되는데 끔찍하다 정말 집에나 찌끄러져 있어 그냥,직장내괴롭힘(2),기타괴롭힘(3),81.85
이번 기말 고사 전교 1등 해야 한다고 했잖아. 성적이 이게 뭐야? 잘못 했어요 엄마 내가 과외랑 학원 다 끊어줬는데 뭐 하는 거야? 최선을 다했는데 실수했나봐요 내가 너 이러면 핸드폰 뺏는다고 했지? 잘못 했어요 내일 영어도 실수하면 눈썹 밀 줄 알아! 알겠어요 알겠으면 가서 공부해! 머리까지 밀리고 싶지 않으면 네 알겠어요,협박(0),기타괴롭힘(3),81.72
