문장,정답,예측,확신도(%)
이게 뭐야 ? 아 나 요즘 취미로 하는 뜨개질이야. 갑자기 뜨개질? 응 하다보니 마음도 좀 차분해지고 온전히 내 시간이라는 생각 때문에 괜찮더라구! 아 되게 의외다. 이런 거 완벽하게 만드는 것보다 그냥 내가 여기에 시간을 쓰고 집중한다는 게 좋더라구. 그럼 이거 다 풀어봐도 돼? 어? 다시 만드는 것도 의미있는 거잖아 아니 그래도 이건 좀 아니지 않아? 야 하지마! 다 너를 위해서 그런거야 어차피 많이 만들지도 않았는데 다시 예쁘게 해봐,기타괴롭힘(3),일반대화(4),95.85
저 박스좀 옮겨줘요 네 다하시면 지하창고에 있는 물건 정리라시구요 오전에했는데요 아.그거 위치바꿔야겠어요 굳이 정리방식이 맘에 안들어요 깔끔하던데요 내눈엔 지저분해요 네.다시할게요,직장내괴롭힘(2),일반대화(4),93.97
김부장 오셨습니까 내가 시킨거 어떻게 했어 ? 그게. 안했어 ? 저는 못하겠습니다 김부장 요즘 나사가 풀렸나봐 ? .죄송합니다. 자네 딸 유치원 다닌다던데 ? .시간을 조금만 더 주세요.,협박(0),직장내괴롭힘(2),91.56
손이 아무리 그 모양이라도 그렇지 타자도 너무 늦고 일이 너무 쳐지는거 아닙니까? 낮에 회사에서 씨 때문에 협력업체에서 왜 메일 빨리 안보내주냐고 나한테 난리쳤다고요 아 저딴에는 빨리 친다고 해도 이게 손이. 말을 안들어서. 죄송합니다. 아니 답장도 이렇게 늦을 일이냐고. 그냥 장애인들만 모아놓은 회사로 이직하는게 어때요? 저는 정당하게 입사한거예요. 아 누가 그거 몰라서 그래요? 그거 그냥 다 허울만 좋은거고 회사에서 국가 지원금 받으려고 고용하는거 몰라요? 압니다. 그래서 저도 노력 많이 합니다. 노력만 백날 하면 뭐합니까? 같이 일하는 사람 힘들게 하면 그게 얼마나 민폐인 줄 아세요? 내가 매번 말을 안해서 그렇지 허구한날 씨 뒤치다꺼리 하고 있다고요 내가 당신 뒤치다꺼리하는 사람인줄 알아요? 손 올찮은게 무슨 자랑이라고. 제가 언제 이게 자랑이라고 했습니까 아. 죄송합니다. 제가 더 분발하겠습니다. 분발이고 뭐고. 위에다 말할겁니다. 하루이틀도 아니고 내가 힘들어서 안되겠다고요 손 잘려나갈때 양심도 같이 잘려나가버리고 없나 진짜 정말 말씀이 너무 지나치시네요. 네 그냥 제가 나가겠습니다.,기타괴롭힘(3),직장내괴롭힘(2),90.97
오늘 왜 빨리 집에 갔어? 맡은 일 다 하고 퇴근시간 다 돼서 갔습니다. 내가 끝나고 집에 같이가자고 했잖아. 왜 나 피하는거야? 회사 동료니 회사에서 보면 되는 것 같습니다. 선배님. 내가 너 좋아하는게 잘못이야?? 왜 나를 피하냐고! 그럼 내일 회사에서 뵙겠습니다. 너 자꾸 이러면 회사 게시판에 글 다 뿌린다 네? 무슨 글을요. 글 쓸만한게 없는데요 너 완전 인성쓰레기에 문란하다고 회사 사람들한테 다 폭로할거야 저는 그런 사실이 없는데요. 뭘 폭로한다는 거죠? 사실이든 가짜든 사람들이 그거 구별할거같아? 그리고 너를 믿겠어 나를 믿겠어? 진짜 이러지 마시구요. 직장내 괴롭힘 범죄입니다. 범죄? 웃기네 진짜. 내가 너 일 가르쳐준게 얼만데 나한테 뒷통수를쳐? 평생 승진 못하게 해버린다. 제발 그만하세요. 성추행도 시도하셨잖아요. 자꾸 이러면 인사과에 고발하겠습니다. 뭐 고발?? 너 진짜 회사 못다니게 해버린다. 다 죽여버릴거야 경찰에 신고하겠습니다.,협박(0),직장내괴롭힘(2),89.8
이거 도와주세요. 난 지금 바빠서 도와줄 시간이 없어. 넌 바쁠 때 항상 바쁜척 하더라 바쁜척 하는 게 아니라 실제로 바빠. 지금까지 놀다가 바쁜척 하는 거 알아 진짜 바쁘다니까. 내 말을 뭘로 알아 니가 평상시에 하는 행동을 보면 매번 그렇더라 니가 미쳤군. 사람 말을 못믿는 걸 보면 너야 말로 진짜 미친 놈이야. 넌 이성을 잃었여. 평상시도 제정신이 아니었지만.,협박(0),기타괴롭힘(3),89.33
야 아프냐? 하지마 아파 해지매애 애패 크크크크 야 이번엔 이걸로 그어보자 올 재미있겠는데 크크 야 붙잡아 하지마 재미없어 무서워 뭐가 무서워 내가 칼로 문신 만들어줄께 멋있을거야 칼빵 어때? 어디다 그어줄까? 오른쪽? 왼쪽? 애꾸눈 어때? 싫어 이거 놔줘 싫으면 어떻게 할건데? 왜? 도망이라도 가게?,기타괴롭힘(3),협박(0),88.64
선생님. 지금 차별하십니까? 아버님 진정하시구요.그런게 아니에요 우리 아이가 얼마나 귀하게 큰 줄 아십니까?? 저에게는 다 같은 아이들입니다 우리아이가 며칠째 식음을 전폐했어요. 이러다 아이가 잘못되면 선생님도 저도 죽습니다. 민석이가 잘못한 점도 분명있습니다. 지금 민석이도 걱정되지만 올바르게 인도해주는 것도 부모와 선생의 역할이라고 생각합니다 그렇게 잘나셔서 우리 아이에게 상처를 줬습니까??? 진정하세요 아버님. 오해입니다 잘 알아듣게 타일렀을뿐입니다 그거야 선생님 기준이고요 우리애 어떻게 책임지실겁니까 아버님 제발 진정하세요,기타괴롭힘(3),협박(0),88.48
이민수씨 맞으시죠? 네 누구시죠 당신 몸캠이 찍힌 동영상 너희 부모님 친구들한테 보내려하는데 어때? 뭐? 너 뭐하는놈이야 당장 이 계좌로 천만원 보내 아니 그렇게 큰 돈을 어떻게. 허. 내 말이 장난같나 보구나 니네 엄마한테 먼저 보내주지 제발요 아니 보낼게요 보내면되잖아 당장 보내 3분줄게 그 안에 안 보내면 알아서 생각해 알았어요 제발 기다려주세요 흐흐 3분이라 했어 빨리 보내는게 좋을거야,협박(0),갈취(1),88.48
지우야 너 카톡계정 있지? 그것좀 빌려주라. 네 근데 왜요? 내가 계정이 정지됐는데 비밀번호를 까먹었어 그거 비번 재설정하면 되지 않아요? 아 내가 몰라서 묻는거 같아? 여러번 했는데 안되서 너한테 물어보는거잖아. 다른애들한테 부탁하면 안될까요? 너 안빌려주면 죽는다. 제발요 너 형이 잘해주니까 무시하냐? 야이 네,기타괴롭힘(3),갈취(1),87.73
