문장,정답,예측,확신도(%)
이게 뭐야 ? 아 나 요즘 취미로 하는 뜨개질이야. 갑자기 뜨개질? 응 하다보니 마음도 좀 차분해지고 온전히 내 시간이라는 생각 때문에 괜찮더라구! 아 되게 의외다. 이런 거 완벽하게 만드는 것보다 그냥 내가 여기에 시간을 쓰고 집중한다는 게 좋더라구. 그럼 이거 다 풀어봐도 돼? 어? 다시 만드는 것도 의미있는 거잖아 아니 그래도 이건 좀 아니지 않아? 야 하지마! 다 너를 위해서 그런거야 어차피 많이 만들지도 않았는데 다시 예쁘게 해봐,기타괴롭힘(3),일반대화(4),96.15
김부장 오셨습니까 내가 시킨거 어떻게 했어 ? 그게. 안했어 ? 저는 못하겠습니다 김부장 요즘 나사가 풀렸나봐 ? .죄송합니다. 자네 딸 유치원 다닌다던데 ? .시간을 조금만 더 주세요.,협박(0),직장내괴롭힘(2),91.54
저 박스좀 옮겨줘요 네 다하시면 지하창고에 있는 물건 정리라시구요 오전에했는데요 아.그거 위치바꿔야겠어요 굳이 정리방식이 맘에 안들어요 깔끔하던데요 내눈엔 지저분해요 네.다시할게요,직장내괴롭힘(2),일반대화(4),91.43
머해? 나 그것 좀 주라 응? 안돼. 이거 생인선물로 받은거야. 야 어차피 몰라 먹으면 없어지는거 같이 먹자고 안돼. 생일선물이잖아. 좋은 말로 할 때 같이 먹자 어려운 것도 아닌데 이거 동생이랑 먹을거였단 말이야. 머래 친구가 더 좋은거 아님? 잘 먹을게 안돼,협박(0),갈취(1),91.2
아 얘봐 얘 신발봐 하하하하 진짜 신발 대박 꼴에 이런거 신네 이.이거 선물받은거야. 누구한테? 너같은 찌질한 가난한 애한테 누가 이런걸 줘? 그.그런사람 있어.선물줬어. 얘가 어이없네? 이런거 받으면 우리한테 줘야지? 너같은 찌질이한테 이런거 어울리니? 아 안돼.이거 선물 받은거라 안돼.다른거 줄게. 아냐아냐 너가 가진거 다 거지같아서 손 대기도 싫어 근데 그 신발은 신상이잖아 미안해.내가 다음에 줄게 진짜 오늘은 그만하면 안될까. 이거 안주면 힘들텐데? 그냥 주고 끝내지? 안주면 내가 어떻게 할지 궁금해? 진짜 미안해 이 신발만은 안돼.,기타괴롭힘(3),갈취(1),91.15
왜 남의것을 함부로 만져? 뭐? 싸가지봐라 내맘인데? 이리줘 싫어 이거 웃기다 애들 보여줄래 이리달라고 그래 가져가 내놔 근데 폰으로 이미 다 찍어놨는데 뭐? 비밀 지켜주는대신 뭐해줄래?,협박(0),갈취(1),91.08
영태야 돈좀줘 내가 돈이 어딨냐 없어? 다 뒤진다 진짜 없어 아씨 빨리 내놓으라고 지금저거 먹어야된다고 없다니까 한대 쳐맞기 전에 내놔 하.여기. 역시 우리 영태 최고! 그래.,직장내괴롭힘(2),갈취(1),90.95
야 나도 너 도시락좀 먹자 못가져왔어 너 저번에도 내꺼 다 먹었잖아 아 정말 돼지도 아니고 왜이렇게 욕심이 많아 그게 아니라 너는 너가 다 먹으니까 그런거지 하.야 내가 먹으면 얼마나 먹는다고 그리고 너 살빼야될 것 같은데? 뭐?.너 그게 할소리야? 아니 그렇잖아 너 많이 먹어서 내가 대신 먹어주는데 고마워해야하는거 아니야? 하. 그래 고맙다 고마워 또 그렇게 비꼬아서 말하진 말자화날것같으니까? 알았어 미안,갈취(1),기타괴롭힘(3),90.61
정의의 사도 내부 고발자가 된 기분이 어때? . 과장님께는 죄송하지만 제 입장에선 어쩔수 없는 일이었습니다 하이고 잘났네 잘났다 뉘집아들인지 잘났어? 죄송합니다. 과장님께 개인적인 원한은 없습니다 그래그래 이렇게 잘난 아들 두신 부모님 가평에서 국밥집하시던데? 네. 그건 어떻게 아 뭐 일도 아니지 그런거 알아내는건 나도 조만간 국밥집 가서 국밥좀 팔아드리고 부모님 면담좀 해볼까봐 아들 잘 키우셨다고 과장님!! 왜?? 이제 곧 짤리면 과장이 될지 범죄가 될지 모른는데 내가 지금 무서운 게 있는것같아??? 과장님.왜그러십니까.우리부모님은 이일과 아무런 상관이 없습니다,협박(0),직장내괴롭힘(2),89.79
야 틴트 좀 빌려줘 저번에 빌려간건.? 아 그거 다썼는데 ? 왜 나 주기 아까워? 그게.아니라. 아까운건아니고 . 그럼 뭔데 지금 너가 그렇게하는게 아까워서 안주는거같은데? 그거 얼마한다고 그것도 못 주냐 내가 너 친구해주는거 고마우면 그정도는 줄 수 있는거잖아 나 없으면 친구 없지 않아 ? 혼자 다니고싶어 ? 알았어 .여기 .,기타괴롭힘(3),갈취(1),89.34
