문장,정답,예측,확신도(%)
이거 서류좀 공증해달라고 아 죄송합니다. 규정상 구비 서류가 없어서 해드릴 수가 없어요. 뭐라고? 너 내가 누군지 알아? 화가나셨다면 죄송합니다. 그렇지만 해드릴수가 없는 부분이라 제가 좀 곤란합니다. 너말고 니 위에 누구야? 제 위에 상사님께 말씀을 드리겠지만 이것은 해드리기가 좀 어려운 부분입니다. 넌 빠지고 니 위에 불러오라고 말씀이 조금 지나치시네요 뭐라고? 손님이 왕인거 몰라? 네 죄송합니다. 잠시만 기다려주세요.,기타괴롭힘(3),직장내괴롭힘(2),80.89
김부장 오셨습니까 내가 시킨거 어떻게 했어 ? 그게. 안했어 ? 저는 못하겠습니다 김부장 요즘 나사가 풀렸나봐 ? .죄송합니다. 자네 딸 유치원 다닌다던데 ? .시간을 조금만 더 주세요.,협박(0),직장내괴롭힘(2),80.81
이봐 최대리. 와봐. 네 과장님. 내가 몇 번을 말했어! 확인 똑바로 하라고 몇 번을 말했냐고! .죄송합니다. 확인은.했는데. 지금부터 너는 말하지 마. 자격도 없어. .정말 죄송합니다. 다시는 이런 일 없도록 하겠습니다. 또 몇 번을 말해야 알아들어? 말하지 말라니까. 진짜 죽여버리고 싶네 이거. 과장님. 제가 똑바로 다시 교육시켜놓겠습니다. 열내지 마시고 담배나 한 대 피시죠. 너 니 후배 교육 똑바로 시켜놔. 또 저 꼴 나면 그날 니가 대신 뒤지는거야. 최대리. 너 진짜 뒤지고 싶냐. 팀분위기 이따위로 만드니깐 좋아? 그냥 죽어라. 도움도 안되는거. 도와줄까? 옥상에서 밀어줘?,협박(0),직장내괴롭힘(2),79.37
야 일병 내가 마스크 똑바로 쓰라했지 죄송합니다! 똑바로 쓰겠습니다!! 어?? 일병이면 소리가 2칸이여야지 소리가 크네 네. 시정하겠습니다 일병이 목소리가 작네 안되겠다 너 맞선임 누구냐 상병님 입니다! 오랜만에 상병 얼차려나 줘야겠네 너때문에 제발 그것만은. 그럼 니가 똑바로 하든가 죄송합니다.,기타괴롭힘(3),직장내괴롭힘(2),79.34
401호시죠? 저 301호에요. 밤에 너무 천장이 울려서 잠을 잘 수 없어요. 운동하세요? 네 안녕하세요. 저는 운동한 적이 없는데 무슨 일이시죠? 아니 밤마다 쿵쿵 울리는데 댁 때문에 잠을 못자서 미치겠어요. 운동하시는 거 맞잖아요! 저는 운동안했어요. 혹시 옆집에서 울리는게 아닐까요? 확인해보셨어요? 아니 당신 내 말이 말같지 않아? 울린다고 하잖아? 내가 그 쪽이 그러는거 모르는 줄 알아? 여보세요. 말씀 지나치세요. 안했다는 데 왜 자꾸 우기세요? 증거있어여? 내가 당신 밤마다 문 앞에서 도청하고 다 듣고있었고 천장소리 다 녹음했어 당신 미친거 아니야? 그거 불법도청인데? 당신 한 번 나랑 해보겠다는거지? 오호라.이게 미쳤나. 야 너 한 번 죽어볼래? 그래 이제 본색을 들어내시는군. 너도 한번 죽어봐라 이 미친년아,협박(0),기타괴롭힘(3),79.08
김사장. 우리 그동안의 세월을 봐서 내가 많이 봐줬다. 한번만 더 시간을 주면 안되겠나? 김사장도 양심도 없지. 내가 땅파서 장사하나? 하지만 이자가 터무니 없이 비싸네. 그럼 빌리지 말든가 급할때는 좋다고 빌려가놓고 왜그래? 그래서 시간을 조금만 더 주게 제발 이틀 줄게 그안에 안가져오면 눈 한쪽 내놓을 생각해 눈.눈을 말인가? 왜 싫으면 지금 당장 돈 가져오든가 내 어찌든 마련해보겠네.,협박(0),갈취(1),79.0
나. 이번 대회에서.꼭 1등 할 거야. 응? 그래 서희야 ! 우리 꼭 같이 입상하자! 아니.? 난 너보다 꼭 위에 올라갈거야. 어.응 ! 그래! 그 동안 내가 운이 좋았지. 너가 나보다 원래 훨씬 빠르잖아. 참나.너 정말 재수없다. 나 놀리는 거지? 내가 맨날 어디서든 니 뒤에 가려져서 얼마나 침울하게 지내왔는지 알아!? 서희야.갑자기 왜그래. 우리 내일.대회잖아.응? 이러지말자. 내가 널 이길 수 있는 방법은 니가 대회에 못나가는 방법 밖에 없어. 그게 무슨소리야.너 꼭 잘 할 수있.어.서희야.그 .그게 뭐야.? 망.망치잖아.! 달리기를 못하게 하는 방법밖 에 없다고.!!!!!!!!!!!. 너.넌 몰라. 내가 얼마나 고통 속에 비교 속에 살아왔는지.!!!!! 꺼져버리라고.!!!!!! 안.안돼. 서희야.!!!!!! 제발 그 . 그거 내려놔.! 오.오지마.!꺄악.!!,협박(0),기타괴롭힘(3),78.97
야 너 내심부름꾼 안할거야? 내가왜.해야해 너같은 찐따랑 놀아주는데 안해? 그냥 찐따할게 하 이것봐라? 그냥 찐따가 아니라 디지게 맞는 찐따인데 괜찮겠어 .내가 뭘 그렇게 잘못한줄 모르겠어 이유가 그렇게 듣고 싶냐? 응.궁금해 왜냐면 너한테만 말해줄게 생긴게 마음에 안들어서그래 .진짜 너무하다 너 그니까 골라 그냥 좋게 심부름할지 졸업할때까지 디지게 맞는 찐따할지?,협박(0),기타괴롭힘(3),78.96
어이 코털 왜 왜? 아놔됐고 너 매점가서 곰보빵 두개에 콜라하나 사와라 나 돈없어 돈없어? 그럼 내가 돈줄께 어 여기 1000원 줄테니까 빵두개 콜라하나 사고 거스름돈 거슬러와라 야 택도없어 야 뒤질래? 쌔벼서라도 갖고와 색키야 야,기타괴롭힘(3),갈취(1),78.77
형씨 오늘까지 돈 주기로 했잖아 아 그게 뭐하는거야? 약속 안지키는 거 아니지? 아니 하루만 뒤로 미룰 수 없을까요.? 자기야 우리 오늘까지 안주면 어떻게 하기로 했지? 장기 그래!! 그러니까 좋은 말로할때 가져와라 정말 하루뒤면 가져올 수 있어요 하루만 정말 나 화나게 할꺼야? 지금 당장이라도 장기 하나하나 다 떼줘? 아니아닙니다.어떻게든 구해서 오늘 안으로 드릴게요,협박(0),갈취(1),78.16
