문장,정답,예측,확신도(%)
이거 서류좀 공증해달라고 아 죄송합니다. 규정상 구비 서류가 없어서 해드릴 수가 없어요. 뭐라고? 너 내가 누군지 알아? 화가나셨다면 죄송합니다. 그렇지만 해드릴수가 없는 부분이라 제가 좀 곤란합니다. 너말고 니 위에 누구야? 제 위에 상사님께 말씀을 드리겠지만 이것은 해드리기가 좀 어려운 부분입니다. 넌 빠지고 니 위에 불러오라고 말씀이 조금 지나치시네요 뭐라고? 손님이 왕인거 몰라? 네 죄송합니다. 잠시만 기다려주세요.,기타괴롭힘(3),직장내괴롭힘(2),90.66
손이 아무리 그 모양이라도 그렇지 타자도 너무 늦고 일이 너무 쳐지는거 아닙니까? 낮에 회사에서 씨 때문에 협력업체에서 왜 메일 빨리 안보내주냐고 나한테 난리쳤다고요 아 저딴에는 빨리 친다고 해도 이게 손이. 말을 안들어서. 죄송합니다. 아니 답장도 이렇게 늦을 일이냐고. 그냥 장애인들만 모아놓은 회사로 이직하는게 어때요? 저는 정당하게 입사한거예요. 아 누가 그거 몰라서 그래요? 그거 그냥 다 허울만 좋은거고 회사에서 국가 지원금 받으려고 고용하는거 몰라요? 압니다. 그래서 저도 노력 많이 합니다. 노력만 백날 하면 뭐합니까? 같이 일하는 사람 힘들게 하면 그게 얼마나 민폐인 줄 아세요? 내가 매번 말을 안해서 그렇지 허구한날 씨 뒤치다꺼리 하고 있다고요 내가 당신 뒤치다꺼리하는 사람인줄 알아요? 손 올찮은게 무슨 자랑이라고. 제가 언제 이게 자랑이라고 했습니까 아. 죄송합니다. 제가 더 분발하겠습니다. 분발이고 뭐고. 위에다 말할겁니다. 하루이틀도 아니고 내가 힘들어서 안되겠다고요 손 잘려나갈때 양심도 같이 잘려나가버리고 없나 진짜 정말 말씀이 너무 지나치시네요. 네 그냥 제가 나가겠습니다.,기타괴롭힘(3),직장내괴롭힘(2),90.37
아저씨 담배 있어요? 없는데. 그럼 저기 편의점에서 하나만 사다 주세요. 지금 삥 뜯는 건가? 에이. 부탁하는 거죠. 누가 부탁을 이렇게 무서운 표정으로 해. 하. 이 아저씨 말귀를 못 알아듣네. 거지냐고 썅. 아니. 말보로 레드. 어어.,갈취(1),기타괴롭힘(3),90.25
내가 싯팔 영화 스포하지 말랬지 . 오징어게임 아직 보지도 않았는데 비밀을 알아버렸어 싯팔롬아. 본 줄 알았지 웃어? 아 장난이지 이 식칼도 장난으로 보임? 아 다음부터는 안한다고 다음은 없다. 슉.슈슛.슉.슈슉.슉.시팔롬아. .,협박(0),기타괴롭힘(3),89.89
오늘 왜 빨리 집에 갔어? 맡은 일 다 하고 퇴근시간 다 돼서 갔습니다. 내가 끝나고 집에 같이가자고 했잖아. 왜 나 피하는거야? 회사 동료니 회사에서 보면 되는 것 같습니다. 선배님. 내가 너 좋아하는게 잘못이야?? 왜 나를 피하냐고! 그럼 내일 회사에서 뵙겠습니다. 너 자꾸 이러면 회사 게시판에 글 다 뿌린다 네? 무슨 글을요. 글 쓸만한게 없는데요 너 완전 인성쓰레기에 문란하다고 회사 사람들한테 다 폭로할거야 저는 그런 사실이 없는데요. 뭘 폭로한다는 거죠? 사실이든 가짜든 사람들이 그거 구별할거같아? 그리고 너를 믿겠어 나를 믿겠어? 진짜 이러지 마시구요. 직장내 괴롭힘 범죄입니다. 범죄? 웃기네 진짜. 내가 너 일 가르쳐준게 얼만데 나한테 뒷통수를쳐? 평생 승진 못하게 해버린다. 제발 그만하세요. 성추행도 시도하셨잖아요. 자꾸 이러면 인사과에 고발하겠습니다. 뭐 고발?? 너 진짜 회사 못다니게 해버린다. 다 죽여버릴거야 경찰에 신고하겠습니다.,협박(0),직장내괴롭힘(2),89.72
저 오늘 조퇴하고 싶은데요. 선생님 안돼. 몸이 안좋아요. 네가 좋은적 있었니? 틱장애도 있고 그건.배가 진짜 아파요 공부도 못하는게 아픈데도 많네 선생님. 그냥 보건실 가 어머니가 오신다고 했는데 유난이다 진짜,기타괴롭힘(3),직장내괴롭힘(2),89.33
태도좀있냐 얼마나 약속 안되는데요 은행가서 뽑아와 딴짓하면 회사로 간다 진짜 약속이 안돼요 그럼 맞고 약속 만들래? 시간좀 주세요 지금 회사로 간다 아뇨 바로 송금할께요,협박(0),직장내괴롭힘(2),89.18
안녕하십니까 길동쇼핑몰 김수지 상담원 입니다 무엇을 도와드릴까요? 저기요 왜 이렇게 전화를 안 받아요? 답답해서 진짜 아 고객님 불편을 드려 죄송합니다. 문의 전화가 너무 많아 상담이 지연되고 있던 점 양해 부탁드립니다. 아니 거기 앉아서 전화만 받고 하는 사람들이 뭐가 그렇게 바빠요? 그냥 띵가띵가 노시는거 아닙니까? 아닙니다. 저희 업무가 고객님들 상담 들어드리는건데 절대 놀지 않죠. 다시 한 번 불편 드린 점 너무 죄송합니다. 그니까 그 쇼핑몰에서 시킨 물건도 이따위지. 물건 컴플레인 전화 많으니까 일부러 안 받았죠? 사람들 돈 먹고 그렇게 놀고 있으면 좋아요? 이제 좀 배 부르고 등 따듯하니까 전화 몇 개만 받은거죠. 일 그렇게 처리 하려고 하지 마세요. 고객이 갑이고 너네들은 을이에요 몰라? 아이고. 고객님 전화 너무 늦게 받아서 죄송합니다. 다음부터는 시정하여 나가도록 하겠습니다. 맨날 할 줄 아는 말이 죄송해요. 그놈에 죄송해요. 그냥 이 물건 가져다 버리든 집앞에 두던 할테니까 알아서 가져가세요. 그렇게 띵가띵가 놀면 집에 가지러 올 시간은 있겠네. 아 반품을 원하시는 건가요? 고객님? 그럼 저희 택배 기사 분 보내드릴 테니까 반송하실 택배 상자에 다시 포장하여 집 앞에 놔주시면 가져가서 확인하고 환불 해드리겠습니다. 다음부터 그딴식으로 장사하실 생각 하지마세요. 남들 목소리 듣고 사는 직업이면서 어디서 여유롭게 놀려 배짱을 피워?,기타괴롭힘(3),직장내괴롭힘(2),88.94
너 소문들었다. 비밀 좀 벌었다면서? 소문은 무슨. 어떻게 오빠한테 로또된걸 숨기려했냐? 아 아니야. 무슨 로또를. 엄마가 이미 입털었어. 넌 말 안할꺼라 생각했냐? 이거 엄마 병원비하면. 진짜 얼마 안돼. 글구 1등 아니야. 2등이야. 내가 봤는데 그래도 몇천은 떨어지잖아. 오빠도 요새 힘든데 좀 내놔라. 무슨 세금빼면 진짜 없다니까. 너 뒤져서 나오면 진짜 쳐맞는다? 오빠 제발 정신차려.이거 엄마 병원비에 쓸꺼라고. 뒤져가는 사람이 중요해? 산사람이나 입에 풀칠해야지. 좋은 말할때 반 내놔.,협박(0),갈취(1),87.11
야 너 일로 와봐 응 왜? 너 내가 만만해? 아니 왜 무슨일인데? 너 내 뒷담까고 다녔냐? 무슨 소리야 누가그래 누가 그러냐니 진짜냐 아니 뭔 말도 안되는 소리야 기분 개나빠 좀 쳐 맞자 왜 그래 일단 미안해 너 좀 쳐맞고 정신차리자 아님 너 여동생이나 아 왜그래 내가 맞을게 미안,협박(0),기타괴롭힘(3),86.87
