문장,정답,예측,확신도(%)
영태야 돈좀줘 내가 돈이 어딨냐 없어? 다 뒤진다 진짜 없어 아씨 빨리 내놓으라고 지금저거 먹어야된다고 없다니까 한대 쳐맞기 전에 내놔 하.여기. 역시 우리 영태 최고! 그래.,직장내괴롭힘(2),갈취(1),99.94
내가 지금부터 민감한 이야기를 할 거니까 사람 없는 곳으로 가서 전화 받아요. 내 경고하는데 경찰에 신고하거나 주위 사람에게 알리면 애 배때기 칼로 쑤셔 버립니다. 아이가 어디에 있습니까? 애가 어디 있는지 그걸 왜 나한테 묻나? 네 애 어디 있는지도 모르나 아줌마? 지금 아이가 학교 갔는데 이 전화가 와서. 아줌마 내가 원하는 건 단순히 돈이야 돈. 난 돈이 필요하다. 나한테 돈 얼마나 해 줄 수 있나요 최대한? 아이가 어디 있는 거예요? 아이가 어디 있느냐고? 창고요. 창고 어딘데요? 아이가 어디 있는지 봐야 알죠. 어딘지 왜 자꾸 위치 묻느냐고 개년아? 돈 준비하라니까.,협박(0),갈취(1),99.94
야 나도 너 도시락좀 먹자 못가져왔어 너 저번에도 내꺼 다 먹었잖아 아 정말 돼지도 아니고 왜이렇게 욕심이 많아 그게 아니라 너는 너가 다 먹으니까 그런거지 하.야 내가 먹으면 얼마나 먹는다고 그리고 너 살빼야될 것 같은데? 뭐?.너 그게 할소리야? 아니 그렇잖아 너 많이 먹어서 내가 대신 먹어주는데 고마워해야하는거 아니야? 하. 그래 고맙다 고마워 또 그렇게 비꼬아서 말하진 말자화날것같으니까? 알았어 미안,갈취(1),기타괴롭힘(3),99.94
빌려간돈 500만원 갚겠다고한지가 벌써 2주가 지났는데 언제 갚을거요? 거래처에서 주기로 한돈이 아직 입금이 안됐는데 몇일만 기다려주시죠 그렇게 미룬지가 벌써 3번째인데 왜자꾸 미룹니까? 돈이 있으면 당장 드리죠 없으니 못드리는겁니다 자꾸 이런식으로 나오면 당신 회사로 쳐들어갈거요 험한꼴 안당할려면 당장 오늘까지 500 입금하세요 지금 협박하는거요? 있는데 안주는것도 아니고 맘데로 하세요 이거 안되겠네 너 집에 처자식 앞에서 맞아볼래? 내가 좋은 말로 하니까 우습지? 맘대로 하라니까 지금은 돈 없어 못줘 기다릴거면 기다리고 이 새끼가 너 밤길 조심해라 대가리 깨지는 수가있다 잔말 말고 당장 돈 갖고 와 지금 통화내용 다 녹음했고 협박죄로 신거할거요,협박(0),갈취(1),99.94
너 쉬는 시간에 공부하냐 응. 모범생인 척 하지마. 아니야. 이제는 겸손한 척 하네 됐고 매점에서 빵이나 사와. 그걸 왜 나한테 그래. 뭐? 해보자는 거냐? 그런거지? 그치? 아니야. 그럼 빵 값은? 그건 내 알바 아니지? 알았어.,갈취(1),기타괴롭힘(3),99.94
어제 길동 사원님이랑 둘이서 회사에서 배달 시켜 먹었다면서요? 아 네 같이 해야 할 회사 업무가 있는데 너무 늦은 시간까지 진행하다 보니 허기 져서 저녁밥 시켰습니다. 근데 길동 사원님이 좀 안쓰럽네요 그게 무슨소리인지 알 수 있을까요? 아니 그렇잖아요 일도 못 하고 어울리지도 못 하는 사람이랑 같이 업무 해야 하니 속으로는 얼마나 환멸 나겠어요. 어제 밥 먹기도 속으로는 싫었을걸요 먼저 먹자고 얘기 꺼내신건 길동 사원님이세요. 그리고 말씀이 너무 지나치시네요 제가 뭘요? 맞는 말만 했는데요. 일 못해서 사람들이 같이 아무것도 안 해주려고 하는거 맞고 밥도 같이 먹기 싫어하잖아요. 아 눈치가 없으셔서 아직 못 느끼셨나? 그렇게 생각하셨다면 유감인데 그렇게 생각하시는 분 님 밖에 없어요. 어우야 착각이 심하다 뭔 밖에 없어 그니까 너가 문제지 사람들 눈 밖에 나있는데 그것도 모르고 자신이 잘난 줄 알고 떵떵거리고 재수없어 제가 뭘 잘못했길래 갑자기 이러시는거죠? 말씀해주시면 제가 참고할게요. 별 다른 이유 없어요 그냥 말 하기만해도 목소리 듣기도 싫고 짜증나요. 제발 알아서 관둬 주셨으면 좋겠어요. 그니까요 제발 앞에서 사라져 주시면 안되나요?,직장내괴롭힘(2),기타괴롭힘(3),99.93
앗! 죄송합니다. 일부로 그런 게 아니었어요. 악! 뭐야? 오늘 새로 산 옷인데. 중요한 약속이 있다고! 너 때문에 다 망했어. 고의가 아니었어요. 용서해주세요. 제가 세탁비 드릴게요. 세탁비? 이 옷이 얼마인지 알고 그렇게 쉽게 말하는거야? 정말 화나는군. 원하시는 금액 말씀하시면 최대한 맞춰드릴게요. 너무 노여워 마세요. 당장 100만원 구해올 수 있어? 없잖아. 나 바쁜 사람이라고.원하는 금액은 됐고 몸으로 때워. 아니 갑자기 그게 무슨 말씀이세요. 마침 몸이 근질근질했는데 좀 맞자. 피를 봐야 기분이 풀리겠어. 무슨. 말도 안 됩니다! 그럴 수 없어요. 진정하세요. 먼저 잘못했으니까 맞는거지. 쫑알쫑알 더 화가나게 하는군.,협박(0),갈취(1),99.93
난 그 돈이 필요해 그건 당신의 것이 아닙니다.내 것도 아니구요 머리를 굴려봐.너 머리 좋자나 저보고 죄를 지으라는 건가요?감옥에 갈 수도 있어요 난 돈을 원하고 넌 감옥에 가면 안되니까 잘 해야겠지 못합니다.못해요 네 참하게 생긴 여동생 요즘도 그 회사 다니지? 뭐.뭐라구요?? 곧 결혼한다는 얘기도 들리던데 오빠가 방해하면 되겠어?.잘 생각해 .,협박(0),갈취(1),99.93
야 알바 너 과자 흐트러져 있는거랑 우유 비워져 있는거 안 채워? 아 몰랐어요. 죄송합니다. 지금 정리하도록 하겠습니다. 알바 너 그리고 누가 내가 일하는데 게임하고 대학 수업듣고 그러라고 했냐? 네.? 어떻게 아셨어요.? 그리고 근로계약서 작성할 때 손님 없는 시간에는 할 일 해도 된다고 하셨는데요. 뭘 내가 어떻게 알아. 그 는 뭐 허구한 날 너 지켜주려고 달아놓은거 같아? 야 그리고 내가 언제 할 일 해도 된다고 그랬어. 증거있냐? 사장님 로 보시고 일 시키시는거 불법이에요 모르세요? 그거 제가 신고하면 사장님 벌금 내셔야하는 일 이에요. 내가 내 알바 돈주고 쓰고 일 잘하는지 본다는데 그게 왜 불법이야? 너가 돈 받고 일 하면서 내내 농땡이 피우고 있잖아. 전 분명 해야할 일 다 했고 과자가 흐트러져 있는건 못 본 제 잘못이지만 매번 이렇게 로 감시 했다는 생각하니까 소름이 다 돋네요. 소름 돋아서 뭐 어쩔건데. 내가 시키는 일이나 제대로 해. 돈 안받고 싶어? 그리고 로 가끔 보지 니 사생활 하나하나 다 보지 않았으니까 착각하지 마. 됐고요. 계속 저를 감시했다는거에 큰 불쾌감을 느끼네요. 저 지금 알바 그만둘거니까 알아서 가게 와서 영업하세요. 그리고 로 지켜보고 계셨던거 신고할겁니다.,직장내괴롭힘(2),기타괴롭힘(3),99.93
야.!! 빵셔틀 1 빵셔틀 1 김빵맨. 지금 남은 시간 10분.지금 당장 매점으로 달려가 피자빵 사올 수 있겠나.??? 저.근데.나 용돈이 다 떨어졌어. 야. 어.??? 그럼 빌려서라도 갖고 와야될 것 아니야. 미.미안.못할 것 같아. 야. 뒤질래.?? 제발.잘못했어.,갈취(1),기타괴롭힘(3),99.93
너 이자식 빨리 돈 안내놔 기다려 보라니까 돈주는게 어디 그렇게 쉽나 너 녀석이 시간 끌어서 경찰 데려오려는것 다 알아 그래서 어쩔건데 죽여야지 빨리 돈 줘! 나 죽이면 너 죄는 가중되고 돈도 없을 텐데 너 이 자식 고문 한다고 하더라도 난 돈을 안줄거야 뭐야! 어처피 날 죽일건데 너 진짜 이세상에서 흔적을 아예 없애줘? 어디서 이 자식이,갈취(1),협박(0),99.93
내가 자네말만 듣고 투자했다가 우리식구들 다 길바닥행이네 미안하네 나도 이럴줄 몰랐네 됐네 미안하단 말은 필요없네 내가 일부러 그런 것도 아니지 않은가 ? 그냥 던진 돌에 개구리 맞아 죽는다고 내가 그짝이야 이미 벌어진일 어쩌겄는가 말 참 쉽게하네 자네 나는 이대로 못가네 그럼 어쩔 셈인가 내가 돈 대신 자네 몸에 있는거라도 떼가야겠네 그거라도 팔면 돈좀 생기지 않겠는가? 제정신인가? 제정신일수가 있겠나? 전재산을 다 날리고 나도 이렇게까지 하고 싶지는 않았다네,협박(0),갈취(1),99.92
선생님 제 남편 좀 살려주세요. 죄송합니다만 남편 분은 가망이 없습니다. 선생님선생님 밖에 없어요! 흐흐흑 이러시면 곤란합니다. 남편 분의 의식은 돌아오는건 저도 장담 못합니다. 죄송합니다. 당신이 수술하면 산다고 했잖아! 당신 때문이야 여기서 이러시면 곤란합니다. 당신이 내 남편 죽였어! 책임져!! 남편 분은 이미 사고로 의식이 없는 상태로 오셨고 제가 생사를 장담못한다고 말씀드렸습니다. 언제 그랬어? 분명 올 때 내 손을 잡고 있었다고! 당신이 죽였지? 진정하세요 살인자! 살인자!!,기타괴롭힘(3),협박(0),99.92
나 생일이라고 어쩌라고 생일이라고 생일 선물 없어? 야 생일축하해 말로만???선물없어?? 지금 저한테 왜 그러세요 선물달라고 안그럼 인스타그램 에 니가 나한테 꼬리친 부분 캡쳐해서 올린다 자 기프티콘,갈취(1),기타괴롭힘(3),99.91
저기 서인턴 대학교 어디 나왔다고 했지? 저 한국대학교 경제학과 나왔습니다. 아 그럼 잘 됐네. 내 아들이 이번년도에 수능을 보는데 한국대 법학과 희망하고 있어. 매주 세 번 집에와서 과외 좀 부탁하네. 아 제가 졸업한지 꽤 됐고 그리고 저때랑 다르게 입시가 많이 바뀌어서 별 도움 안될거예요. 그래서 안 해준다는건가? 그건 아니고 해드리기는 할건데. 음 제가 다른 친구들 과외할 때는 1시간에 삼만원씩 받았는데 대리님 아들분이시니 1시간에 만원만 받을게요. 돈을 받아야 과외를 해준다는건가? 우리사이에 그러기가 어딨나. 그 설명하는 게 뭐 힘든 일도 아니고. 내가 회사에서 많이 예뻐해줄게 저도 원래 회사 끝나고 과외다니는데 시간 빼고 가는거라. 그리고 다른 곳에서 만원내고 못 배워요. 회사에서 불이익 받고 싶나? 내 아들 무료로 해주면 뭐 어떻다고 그러나 그냥 딱 세 달만 해주면 돼. 세달 매주 세 번이면 적어도36번입니다. 근데 그걸 무일푼으로 하라고요.? 야 돈 밝히지 마. 왜 이렇게 돈을 밝혀 별것도 아닌거 가지고. 우리 애가 대학 잘 갈까봐 자격지심 느껴서 그러는거야? 그럴 일 없고요. 그냥 못들은 걸로 할게요. 하여튼 돈에 맛 들려서 이러니까 젊은것들한테는 돈을 쥐어주면 안된다는거야. 뭣 모르고 자기가 대단한 줄 착각하잖아.,직장내괴롭힘(2),갈취(1),99.91
나 너 살 안 빼면 헤어질거야 뭐? 진짜 내가 그 말 하지 말라고 했지 나 너 뱃살 있는 거 진짜 싫어 개새끼 살 얼른 빼 보기 싫으니까 작작 말해 미친 새끼 응응 이번에 살 안 빼면 진짜 나랑 그만 만나 알겠어 오빠 그래 뚱땡아아 응응 알겠어,협박(0),기타괴롭힘(3),99.91
야 아프냐? 하지마 아파 해지매애 애패 크크크크 야 이번엔 이걸로 그어보자 올 재미있겠는데 크크 야 붙잡아 하지마 재미없어 무서워 뭐가 무서워 내가 칼로 문신 만들어줄께 멋있을거야 칼빵 어때? 어디다 그어줄까? 오른쪽? 왼쪽? 애꾸눈 어때? 싫어 이거 놔줘 싫으면 어떻게 할건데? 왜? 도망이라도 가게?,기타괴롭힘(3),협박(0),99.91
그만 만나자 나 머무 지쳤어 나 미치는 꼴 보고 싶어서 그래? 내가 죽어야 너가 정신차리지? 나 정말 너무 힘들어서 그래 그만하자 내가 잘못되면 다 너때문인줄 알아. 왜그러는거야. 내가 그냥하는 말 같아? 나 지금 옥상이야. 거길 왜 갔어. 진정하고 내려와. 헤어지자는 말 취소해 지금 당장 죽어버리기 전에 말해. 알겠어 취소할게.그러니까 옥상에서 내려와. 진작에 그랬어야지,갈취(1),협박(0),99.91
많이 어려워? 제가 그 물건을 다음달까지 어떻게. 안 어렵게 도와줄까? 네? 그게 무슨. 이게 누구실까? 앗. 우리 아들 그래 하나뿐인 석박사 수석 아드님 왜 이러십니까. 어때 좀 쉽게 구할 거 같아? 제발.시간을 좀 주세요.,협박(0),갈취(1),99.9
