문장,정답,예측,확신도(%)
야 우리 오늘 작업있다는데 어떡할래?? 가위바위보로 뽑자 그냥 그래 그러지 뭐 야 너까지 세명중에 두명만가는거다 이병 황길동 알겠습니다 에이씨 나랑 너네. 어쩔수없지 가자 야 근데 나같으면 선임분들 계시면 바로 내가 하겠다 그런다 옛날같으면 상상도 못할일이긴 하네 선임들 다 일가는데 혼자 쉰다고도 그러고 제가 가겠습니다! 아냐아냐 그냥 쉬어 넌 뭐 그런식으로 이야길하냐 아니 뭐 그렇더라고 혼자 저러고 쉬면서 좋아하는게 뭣같잖아 똑바로 해라 황길동 이병 황길동 알겠습니다.,기타괴롭힘(3),직장내괴롭힘(2),90.31
김부장 오셨습니까 내가 시킨거 어떻게 했어 ? 그게. 안했어 ? 저는 못하겠습니다 김부장 요즘 나사가 풀렸나봐 ? .죄송합니다. 자네 딸 유치원 다닌다던데 ? .시간을 조금만 더 주세요.,협박(0),직장내괴롭힘(2),89.8
야이 미친놈아 이거 하나 똑바로 못외워? 김상병님 제가 일주일동안 작업하고 근무하느라. 시간이 없었습니다 이 미친놈 봐라 반성도 안하고 핑계부터 대네 죄송합니다 다시 외워 오겠습니다 요즘 이등병 미처 날뛰네 야 박일병!!! 맞후임 관리 안하냐?? 군대 거꾸로 돌아가네 죄송합니다 김상병님. 제가 교육 다시 시키겠습니다 됐고 한번 좆 돼 봐야 정신차리지 내 아래로 싹다 집합시켜. 20분 준다 넵. 알겠습니다 너는 대가리가 어떻게 되먹은거냐 개폐급이네 진짜 죄송합니다. 면목 없습니다. 박일병님.,기타괴롭힘(3),직장내괴롭힘(2),89.78
김병장 다음주 휴가인데 너 머리가 좀 길다? 당장 삭발해 저 휴가가 다음주 입니다.행보관님 휴가랑 머리길이가 무슨 상관이 있지? 아니 그래도 다음주 말차 인데 삭발은 좀 아닌 것 같습니다 중대장한테 건의 해서 명령 불복종과 품위 유지 위반으로 징계하고 말차 짤릴래 아님 삭발하고 휴가 나갈래 행보관님. 이건 아닌 것 같습니다. 그러게 누가 머리카락을 그렇게 기르나! 이발병 당장 불러서 삭발하고 한시간 이내로 안오면 너 말차는 없다. 행보관님 제발 이러지 말아주십쇼. 지금까지 열심히 군생활 했는데 이건 아닌 것 같습니다. 그럼 징계 받으면 되겠네 .삭발하고 오겠습니다.,기타괴롭힘(3),직장내괴롭힘(2),89.43
야 너 내심부름꾼 안할거야? 내가왜.해야해 너같은 찐따랑 놀아주는데 안해? 그냥 찐따할게 하 이것봐라? 그냥 찐따가 아니라 디지게 맞는 찐따인데 괜찮겠어 .내가 뭘 그렇게 잘못한줄 모르겠어 이유가 그렇게 듣고 싶냐? 응.궁금해 왜냐면 너한테만 말해줄게 생긴게 마음에 안들어서그래 .진짜 너무하다 너 그니까 골라 그냥 좋게 심부름할지 졸업할때까지 디지게 맞는 찐따할지?,협박(0),기타괴롭힘(3),88.78
너 쉬는 시간에 공부하냐 응. 모범생인 척 하지마. 아니야. 이제는 겸손한 척 하네 됐고 매점에서 빵이나 사와. 그걸 왜 나한테 그래. 뭐? 해보자는 거냐? 그런거지? 그치? 아니야. 그럼 빵 값은? 그건 내 알바 아니지? 알았어.,갈취(1),기타괴롭힘(3),88.4
야 아프냐? 하지마 아파 해지매애 애패 크크크크 야 이번엔 이걸로 그어보자 올 재미있겠는데 크크 야 붙잡아 하지마 재미없어 무서워 뭐가 무서워 내가 칼로 문신 만들어줄께 멋있을거야 칼빵 어때? 어디다 그어줄까? 오른쪽? 왼쪽? 애꾸눈 어때? 싫어 이거 놔줘 싫으면 어떻게 할건데? 왜? 도망이라도 가게?,기타괴롭힘(3),협박(0),88.32
너희부모님 장애인이라며? 넌 왜이렇게 멀쩡하냐? 무슨근거로 그런말을 해? 소문이 그래 너도 부모님처럼 장애인 만들어줘? 시킨일 다했자나 왜그러는거야 그냥 너가 마음에 안들어 그만 괴롭히면 안될까? 안돼 내 스트레스가 풀릴때까지 계속이야 신고할거야 신고해봐 어디! 내가 너 가만히 안둘테니 언젠가 내가 가만히 안둬,기타괴롭힘(3),협박(0),88.26
됐다 그만하자. 이제 너랑 이러는것도 지친다. 거기서 그 얘기가 왜 또 나오는건데? 그냥 나랑 헤어질 상황만 기다리던거 아니고? 네가 이러는게 나는 지친다니까? 뭐만 하면 의심부터 하고 날 한 번이라도 믿어본적 있어? 하. 그동안 진짜 노력했는데 너랑은 대화가 안통한다. 야 너 이게 뭔지 아냐? . 뭐야 그건 도대체 언제 찍은거야? 빨리 지워! 에이 네가 지우랍시고 지우랄거면 힘들게 이런건 안 찍었지. 겨우 그딴거 하나 있다고 내가 너랑 계속 만날것같아? 넌 내가 반드시 콩밥 먹일거야. 알아? 워 워 화내지 말고. 그래 뭐 까짓거 한번 먹고 말지. 근데 넌? 이게 올라가도 멀쩡히 학교 다닐수 있을것같냐? 넌 진짜 개새끼야. 씨발새끼. 무섭게 너무 욕하지 말고. 너 하는거 보고 결정 하지 뭐.,기타괴롭힘(3),협박(0),88.26
야 머하냐? 학원가려고. 돈 좀 있냐? 아니 없어. 야 니가 머가 없어 니 손에 든건 머냐? 내 밥이야. 돈이 없으면 니 밥이라도 줘야지 싫어. 머 싫어? 이게 죽고싶나 아니. 너 돈 있잖아. 그걸로 사먹어.,협박(0),갈취(1),88.21
